s3306_b_2_A_pos	OK	3
s3306_b_2_C_neg	OK	2
s3306_b_2_C_pos	OK	3
s3306_b_7_neg	OK	2
s3306_b_7_pos	OK	2
s3306_b_neg	OK	1
s3306_b_pos	OK	1
s3306_c_10_A_i_neg	OK	1
s3306_c_10_A_i_pos	OK	2
s3306_c_10_A_ii_neg	OK	0
s3306_c_10_A_ii_pos	OK	1
s3306_c_10_B_neg	OK	2
s3306_c_10_B_pos	OK	1
s3306_c_11_neg	OK	1
s3306_c_11_pos	OK	1
s3306_c_13_neg	OK	0
s3306_c_13_pos	OK	2
s3306_c_16_neg	OK	0
s3306_c_16_pos	OK	1
s3306_c_1_A_i_neg	OK	0
s3306_c_1_A_i_pos	OK	0
s3306_c_1_B_neg	OK	1
s3306_c_1_B_pos	OK	0
s3306_c_1_neg	OK	1
s3306_c_1_pos	OK	1
s3306_c_21_neg	OK	0
s3306_c_21_pos	OK	1
s3306_c_2_neg	OK	1
s3306_c_2_pos	OK	0
s3306_c_5_neg	OK	2
s3306_c_5_pos	OK	1
s3306_c_6_neg	OK	1
s3306_c_6_pos	OK	1
s3306_c_7_neg	OK	0
s3306_c_7_pos	OK	0
s3306_c_A_neg	OK	1
s3306_c_A_pos	OK	1
s3306_c_B_neg	OK	1
s3306_c_B_pos	OK	1
s63_a_neg	OK	2
s63_a_pos	OK	1
s63_b_neg	OK	1
s63_b_pos	OK	1
s63_c_1_neg	OK	0
s63_c_1_pos	OK	0
s63_c_2_A_i_neg	OK	1
s63_c_2_A_i_pos	OK	1
s63_c_2_A_ii_neg	OK	1
s63_c_2_A_ii_pos	OK	1
s63_c_2_B_neg	OK	1
s63_c_2_B_pos	OK	1
s63_c_2_C_neg	OK	1
s63_c_2_C_pos	OK	1
s63_c_3_neg	OK	0
s63_c_3_pos	OK	1
s63_c_5_neg	OK	1
s63_c_5_pos	OK	1
s63_c_6_A_neg	OK	0
s63_c_6_A_pos	OK	1
s63_c_6_B_neg	OK	1
s63_c_6_B_pos	OK	1
s63_c_6_D_neg	OK	2
s63_c_6_D_pos	OK	0
s63_c_7_i_neg	OK	4
s63_c_7_i_pos	OK	2
s63_c_7_ii_neg	OK	1
s63_c_7_ii_pos	OK	1
s63_d_2_neg	OK	0
s63_d_2_pos	OK	1
s63_d_neg	OK	1
s63_d_pos	OK	1
s63_f_1_A_neg	OK	1
s63_f_1_A_pos	OK	0
s63_f_1_B_neg	OK	1
s63_f_1_B_pos	OK	0
s63_f_2_A_neg	OK	1
s63_f_2_A_pos	OK	1
s63_f_2_B_neg	OK	0
s63_f_2_B_pos	OK	1
s63_f_3_neg	OK	1
s63_f_3_pos	OK	0
s68_a_1_neg	OK	1
s68_a_1_pos	OK	0
s68_a_2_neg	OK	1
s68_a_2_pos	OK	1
s68_b_1_A_neg	OK	1
s68_b_1_A_pos	OK	0
s68_b_1_B_neg	OK	1
s68_b_1_B_pos	OK	0
s68_b_1_C_neg	OK	1
s68_b_1_C_pos	OK	1
s68_b_1_D_neg	OK	0
s68_b_1_D_pos	OK	1
s68_f_neg	OK	0
s68_f_pos	OK	1
s7703_a_1_neg	OK	1
s7703_a_1_pos	OK	0
s7703_a_2_neg	OK	1
s7703_a_2_pos	OK	0
s7703_b_1_neg	OK	1
s7703_b_1_pos	OK	1
s7703_b_2_neg	OK	0
s7703_b_2_pos	OK	1
s7703_b_3_neg	OK	1
s7703_b_3_pos	OK	0
tax_case_1	OK	1
tax_case_10	OK	0
tax_case_100	OK	1
tax_case_11	OK	1
tax_case_12	OK	0
tax_case_13	OK	1
tax_case_14	OK	1
tax_case_15	OK	0
tax_case_16	OK	2
tax_case_17	OK	1
tax_case_18	OK	0
tax_case_19	OK	1
tax_case_2	OK	1
tax_case_20	OK	0
tax_case_21	OK	1
tax_case_22	OK	1
tax_case_23	OK	0
tax_case_24	OK	1
tax_case_25	OK	0
tax_case_26	OK	1
tax_case_27	OK	1
tax_case_28	OK	0
tax_case_29	OK	1
tax_case_3	OK	0
tax_case_30	OK	1
tax_case_31	OK	0
tax_case_32	OK	1
tax_case_33	OK	2
tax_case_34	OK	0
tax_case_35	OK	1
tax_case_36	OK	1
tax_case_37	OK	0
tax_case_38	OK	1
tax_case_39	OK	1
tax_case_4	OK	0
tax_case_40	OK	1
tax_case_41	OK	0
tax_case_42	OK	1
tax_case_43	OK	1
tax_case_44	OK	1
tax_case_45	OK	0
tax_case_46	OK	1
tax_case_47	OK	0
tax_case_48	OK	1
tax_case_49	OK	1
tax_case_5	OK	1
tax_case_50	OK	2
tax_case_51	OK	0
tax_case_52	OK	1
tax_case_53	OK	2
tax_case_54	OK	0
tax_case_55	OK	0
tax_case_56	OK	1
tax_case_57	OK	0
tax_case_58	OK	1
tax_case_59	OK	1
tax_case_6	OK	0
tax_case_60	OK	1
tax_case_61	OK	1
tax_case_62	OK	0
tax_case_63	OK	1
tax_case_64	OK	1
tax_case_65	OK	1
tax_case_66	OK	2
tax_case_67	OK	1
tax_case_68	OK	1
tax_case_69	OK	0
tax_case_7	OK	1
tax_case_70	OK	1
tax_case_71	OK	1
tax_case_72	OK	0
tax_case_73	OK	1
tax_case_74	OK	1
tax_case_75	OK	1
tax_case_76	OK	0
tax_case_77	OK	0
tax_case_78	OK	3
tax_case_79	OK	1
tax_case_8	OK	0
tax_case_80	OK	1
tax_case_81	OK	0
tax_case_82	OK	1
tax_case_83	OK	57
tax_case_84	OK	1
tax_case_85	OK	0
tax_case_86	OK	1
tax_case_87	OK	1
tax_case_88	OK	0
